SC	名称	市場	業種	日時	株価	前日比	前日比(％)	前日終値	始値	高値	安値	出来高	売買代金(千円)	時価総額(百万円)	値幅下限	値幅上限
0001	日経225（日経平均株価）	東証	株価指数	10/27 10:40	17403.29	11.45	+0.07	17391.84	17346.39	17414.21	17339.20	-	-	-	-	-
0002	TOPIX（東証株価指数）	東証	株価指数	10/27 11:00	1384.17	1.47	+0.11	1382.70	1381.10	1387.85	1379.87	-	-	-	-	-
1301	極洋	東証一部	水産・農林	10/27 10:59	2764	-5	-0.18	2769	2764	2775	2764	5600	15507	30206	2269	3270
1332	日本水産	東証一部	水産・農林	10/27 11:00	502	+8	+1.62	494	500	508	497	2026000	1016545	156840	414	574
1333	マルハニチロ	東証一部	水産・農林	10/27 11:00	2927	+25	+0.86	2902	2900	2934	2896	75000	218664	154127	2402	3405
1352	ホウスイ	東証一部	卸売	10/27 10:55	113	+4	+3.67	109	109	116	109	153000	17316	9468	59	159
1376	カネコ種苗	東証一部	水産・農林	10/27 10:54	1530	+31	+2.07	1499	1500	1538	1499	11400	17328	18012	1199	1799
1377	サカタのタネ	東証一部	水産・農林	10/27 11:00	3080	+50	+1.65	3030	3005	3080	3005	53000	161280	149105	2330	3730
1379	ホクト	東証一部	水産・農林	10/27 10:59	1952	+18	+0.93	1934	1934	1956	1934	16800	32748	65117	1534	2334
1380	秋川牧園	JQS	水産・農林	-	-	0	0.00	559	-	-	-	-	-	2336	459	659
1381	アクシーズ	JQS	水産・農林	10/27 09:40	1821	-18	-0.98	1839	1839	1839	1819	1500	2741	10229	1439	2239
1382	ホーブ	JQS	水産・農林	-	-	0	0.00	1055	-	-	-	-	-	804	755	1355
1383	ベルグアース	JQS	水産・農林	10/27 10:01	958	-15	-1.54	973	958	959	958	300	288	1217	813	1113
1384	ホクリヨウ	東証一部	水産・農林	10/27 10:53	757	+7	+0.93	750	753	758	752	4100	3091	6403	600	900
1400	ルーデン・ホールディングス	JQG	建設	10/27 10:23	141	-1	-0.70	142	142	142	141	2100	296	1412	92	192
1401	エムビーエス	東証マザ	建設	10/27 10:11	2561	+1	+0.04	2560	2561	2561	2561	300	768	1863	2060	3060
1407	ウエストホールディングス	JQS	建設	10/27 10:56	825	+11	+1.35	814	829	832	813	95000	78326	22469	664	964
1408	サムシングホールディングス	JQG	建設	10/27 10:51	501	+4	+0.80	497	500	501	498	3500	1751	2061	417	577
1413	桧家ホールディングス	名証二部	建設	10/27 10:22	1632	-17	-1.03	1649	1626	1650	1610	6200	10060	22154	1249	2049
1414	ショーボンドホールディングス	東証一部	建設	10/27 11:00	5040	+10	+0.20	5030	5000	5060	5000	21400	107776	146677	4030	6030
1417	ミライト・ホールディングス	東証一部	建設	10/27 10:59	922	-1	-0.11	923	924	929	920	84500	78180	78722	773	1073
1418	インターライフホールディングス	JQS	建設	10/27 11:03	256	+1	+0.39	255	255	259	253	36800	9426	5123	175	335
1419	タマホーム	東証一部	建設	10/27 11:00	548	+5	+0.92	543	545	549	545	58900	32171	16471	443	643
1420	サンヨーホームズ	東証一部	建設	10/27 10:49	557	0	0.00	557	558	558	555	2800	1559	7029	457	657
1429	日本アクア	東証マザ	建設	10/27 10:50	430	+2	+0.47	428	428	434	427	19400	8352	15533	348	508
1430	ファーストコーポレーション	東証マザ	建設	10/27 10:58	957	+13	+1.38	944	946	957	941	9000	8516	11410	794	1094
1431	エスケーホーム	福証QB	建設	-	-	0	0.00	752	-	-	-	-	-	820	602	902
1433	ベステラ	東証マザ	建設	10/27 11:01	4120	+130	+3.26	3990	4025	4175	4010	29900	122576	11356	3290	4690
1434	JESCOホールディングス	東証二部	建設	10/27 11:03	428	+5	+1.18	423	430	430	425	7200	3092	2672	343	503
1435	インベスターズクラウド	東証マザ	建設	10/27 11:03	3890	+20	+0.52	3870	3870	3920	3825	22800	88347	59479	3170	4570
1436	フィット	東証マザ	建設	10/27 10:32	786	+7	+0.90	779	794	794	781	5900	4657	3356	629	929
1491	中外鉱業	東証二部	非鉄金属	10/27 11:01	27	0	0.00	27	27	27	26	76800	2070	7823	1	57
1514	住石ホールディングス	東証一部	鉱業	10/27 10:54	90	+2	+2.27	88	88	90	88	161200	14307	5300	58	118
1515	日鉄鉱業	東証一部	鉱業	10/27 10:59	4115	-15	-0.36	4130	4095	4145	4095	2400	9916	34370	3430	4830
1518	三井松島産業	東証一部	鉱業	10/27 11:00	1236	-6	-0.48	1242	1238	1242	1232	12800	15827	17141	942	1542
1605	国際石油開発帝石	東証一部	鉱業	10/27 11:00	988.1	+1.7	+0.17	986.4	979.7	995.4	973	1787900	1762396	1444922	836.4	1136.5
1606	日本海洋掘削	東証一部	鉱業	10/27 10:57	2370	-13	-0.55	2383	2383	2394	2366	7600	18068	42660	1883	2883
1662	石油資源開発	東証一部	鉱業	10/27 11:00	2342	+5	+0.21	2337	2325	2351	2311	95600	223003	133856	1837	2837
1663	K＆Oエナジーグループ	東証一部	鉱業	10/27 10:45	1483	-10	-0.67	1493	1463	1495	1461	3400	5003	44988	1193	1793
1711	省電舎	東証二部	建設	10/27 10:45	778	-12	-1.52	790	790	790	768	25100	19564	1713	640	940
1712	ダイセキ環境ソリューション	東証一部	建設	10/27 11:00	1499	+15	+1.01	1484	1491	1501	1489	9100	13625	20945	1184	1784
1716	第一カッター興業	JQS	建設	10/27 11:03	1178	+38	+3.33	1140	1146	1185	1140	41100	47408	7068	840	1440
1717	明豊ファシリティワークス	JQS	建設	10/27 11:03	318	+1	+0.32	317	317	323	314	29300	9287	4047	237	397
1718	美樹工業	JQS	建設	10/27 11:04	468	+8	+1.74	460	460	469	460	24000	11129	5397	380	540
1719	安藤・間	東証一部	建設	10/27 11:00	672	+3	+0.45	669	670	684	665	1862100	1256437	124461	569	769
1720	東急建設	東証一部	建設	10/27 11:00	1051	-18	-1.68	1069	1062	1063	1050	211900	224322	112206	769	1369
1721	コムシスホールディングス	東証一部	建設	10/27 10:59	1849	-2	-0.11	1851	1857	1861	1846	116000	215114	260709	1451	2251
1722	ミサワホーム	東証一部	建設	10/27 10:56	792	+3	+0.38	789	791	794	786	15900	12580	30681	639	939
1723	日本電技	JQS	建設	10/27 10:25	1798	+6	+0.33	1792	1790	1801	1790	2000	3596	14739	1392	2192
1724	シンクレイヤ	JQS	建設	10/27 10:40	278	-1	-0.36	279	282	282	278	1900	532	1121	199	359
1726	ビーアールホールディングス	東証一部	建設	10/27 10:57	231	+2	+0.87	229	230	233	228	88400	20395	9171	149	309
1728	ミサワホーム中国	JQS	建設	-	-	0	0.00	267	-	-	-	-	-	3081	187	347
1730	麻生フオームクリート	JQS	建設	-	-	0	0.00	330	-	-	-	-	-	1129	250	410
1734	北弘電社	札証	建設	-	-	0	0.00	350	-	-	-	-	-	2275	270	430
1736	オーテック	JQS	建設	10/27 09:25	915	0	0.00	915	915	915	915	2200	2013	5216	765	1065
1737	三井金属エンジニアリング	東証二部	建設	10/27 10:53	940	+2	+0.21	938	941	943	940	2000	1884	12013	788	1088
1738	NITTOH	名証二部	建設	-	-	0	0.00	400	-	-	-	-	-	1624	320	480
1739	シード平和	JQG	建設	10/27 09:48	1195	0	0.00	1195	1192	1195	1190	800	954	3857	895	1495
1743	コーアツ工業	東証二部	建設	10/27 10:50	204	0	0.00	204	204	204	204	-	-	1550	124	284
1757	クレアホールディングス	東証二部	建設	10/27 11:01	44	0	0.00	44	44	45	43	143500	6324	3582	14	74
1758	太洋基礎工業	JQS	建設	-	-	0	0.00	695	-	-	-	-	-	2848	595	795
1762	高松コンストラクショングループ	東証一部	建設	10/27 10:58	2516	-15	-0.59	2531	2550	2553	2516	8100	20561	97822	2031	3035
1764	工藤建設	東証二部	建設	10/27 09:12	218	+1	+0.46	217	215	218	215	6000	1296	2902	137	297
1766	東建コーポレーション	東証一部	建設	10/27 11:00	7770	+190	+2.51	7580	7620	7780	7590	49000	374375	104677	6080	9080
1768	ソネック	東証一部	建設	10/27 11:00	623	-1	-0.16	624	627	627	623	4300	2690	4673	524	724
1770	藤田エンジニアリング	JQS	建設	10/27 10:18	490	+2	+0.41	488	496	496	489	1300	639	5733	408	568
1771	日本乾溜工業	福証	建設	-	-	0	0.00	330	-	-	-	-	-	1684	250	410
1773	ワイ・ティー・エル・コーポレーション・バーハッド	東証一部	建設	-	-	0	0.00	45	-	-	-	-	-	-	12	72
1775	富士古河E＆C	東証二部	建設	10/27 11:03	310	+18	+6.16	292	310	325	308	185000	58267	13991	212	372
1776	三井住建道路	東証二部	建設	10/27 10:58	237	+1	+0.42	236	239	239	237	15000	3576	4398	156	316
1777	川崎設備工業	名証二部	建設	10/27 10:20	255	0	0.00	255	255	255	255	5000	1275	3060	175	335
1780	ヤマウラ	東証一部	建設	10/27 10:33	527	+2	+0.38	525	525	527	524	4700	2470	11122	425	625
