,index,���t,�n�l,���l,���l.1,�I�l,�o����,�������
0,0,2016-10-26,2760.0,2778.0,2755.0,2769.0,16800,46468700
1,1,2016-10-25,2780.0,2780.0,2765.0,2770.0,12200,33818500
2,2,2016-10-24,2749.0,2775.0,2749.0,2774.0,11600,32071700
3,3,2016-10-21,2768.0,2770.0,2745.0,2748.0,10800,29784000
4,4,2016-10-20,2780.0,2785.0,2768.0,2773.0,17700,49129700
5,5,2016-10-19,2770.0,2778.0,2753.0,2773.0,22800,63146400
6,6,2016-10-18,2756.0,2756.0,2737.0,2755.0,14100,38774900
7,7,2016-10-17,2749.0,2761.0,2734.0,2743.0,14700,40385000
8,8,2016-10-14,2730.0,2756.0,2730.0,2743.0,16000,43890700
9,9,2016-10-13,2712.0,2729.0,2710.0,2728.0,11200,30449300
10,10,2016-10-12,2710.0,2727.0,2710.0,2712.0,10100,27437300
11,11,2016-10-11,2711.0,2734.0,2710.0,2720.0,18200,49472400
12,12,2016-10-07,2756.0,2757.0,2707.0,2718.0,16500,45022600
13,13,2016-10-06,2765.0,2770.0,2754.0,2765.0,16600,45922200
14,14,2016-10-05,2767.0,2769.0,2760.0,2764.0,14900,41198200
15,15,2016-10-04,2751.0,2769.0,2751.0,2767.0,20400,56369000
16,16,2016-10-03,2750.0,2768.0,2745.0,2757.0,17700,48735500
17,17,2016-09-30,2747.0,2750.0,2725.0,2744.0,14100,38649100
18,18,2016-09-29,2738.0,2770.0,2738.0,2750.0,36300,99752700
19,19,2016-09-28,2740.0,2740.0,2716.0,2734.0,14400,39314700
20,20,2016-09-27,269.0,273.0,269.0,272.0,170000,46089000
21,21,2016-09-26,270.0,271.0,270.0,270.0,82000,22164000
22,22,2016-09-23,270.0,271.0,269.0,271.0,149000,40238000
23,23,2016-09-21,270.0,272.0,268.0,272.0,131000,35491000
24,24,2016-09-20,270.0,271.0,269.0,271.0,106000,28658000
25,25,2016-09-16,266.0,271.0,265.0,271.0,134000,36080000
26,26,2016-09-15,268.0,268.0,266.0,266.0,47000,12526000
27,27,2016-09-14,267.0,269.0,267.0,269.0,63000,16853000
28,28,2016-09-13,269.0,269.0,268.0,269.0,44000,11826000
29,29,2016-09-12,266.0,269.0,266.0,268.0,71000,18971000
30,30,2016-09-09,269.0,271.0,268.0,268.0,119000,32027000
31,31,2016-09-08,270.0,271.0,269.0,271.0,137000,37012000
32,32,2016-09-07,269.0,271.0,268.0,271.0,171000,46137000
33,33,2016-09-06,263.0,270.0,263.0,270.0,230000,61514000
34,34,2016-09-05,265.0,266.0,263.0,263.0,117000,30965000
35,35,2016-09-02,264.0,266.0,263.0,265.0,124000,32828000
36,36,2016-09-01,263.0,264.0,262.0,264.0,74000,19453000
37,37,2016-08-31,260.0,262.0,260.0,262.0,47000,12280000
38,38,2016-08-30,262.0,262.0,260.0,261.0,70000,18285000
39,39,2016-08-29,262.0,263.0,261.0,262.0,54000,14144000
40,40,2016-08-26,260.0,262.0,260.0,261.0,103000,26859000
41,41,2016-08-25,261.0,262.0,261.0,261.0,44000,11506000
42,42,2016-08-24,262.0,262.0,261.0,262.0,37000,9685000
43,43,2016-08-23,261.0,262.0,261.0,261.0,109000,28498000
44,44,2016-08-22,261.0,261.0,260.0,261.0,79000,20591000
45,45,2016-08-19,261.0,262.0,260.0,261.0,63000,16441000
